#id	gender	age	country	registered
user_000001	m		Japan	"Aug 13, 2006"
user_000002	f		Peru	"Feb 24, 2006"
user_000003	m	22	United States	"Oct 30, 2005"
user_000004	f			"Apr 26, 2006"
user_000005	m		Bulgaria	"Jun 29, 2006"
user_000006		24	Russian Federation	"May 18, 2006"
user_000007	f		United States	"Jan 22, 2006"
user_000008	m	23	Slovakia	"Sep 28, 2006"
user_000009	f	19	United States	"Jan 13, 2007"
user_000010	m	19	Poland	"May 4, 2006"
user_000011	m	21	Finland	"Sep 8, 2005"
user_000012	f	28	United States	"Mar 30, 2005"
user_000013	f	25	Romania	"Sep 25, 2006"
user_000014				"Jan 27, 2006"
user_000015		21	Cote D'Ivoire	"Oct 3, 2006"
user_000016	m		United Kingdom	"Aug 5, 2005"
user_000017	m	22	Morocco	"Aug 27, 2007"
user_000018		22	United Kingdom	"Aug 26, 2005"
user_000019	f	29	Mexico	"Nov 10, 2005"
user_000020	f	27	Germany	"Jul 24, 2006"
user_000021	m	27	Canada	"Mar 16, 2005"
user_000022	m	38	United Kingdom	"May 14, 2006"
user_000023	f		Germany	"Aug 15, 2006"
user_000024	f	25	United States	"Oct 3, 2004"
user_000025		19	Sweden	"Nov 10, 2005"
user_000026	m	22	Turkey	"Dec 21, 2005"
user_000027	m	24	United States	"Jul 25, 2005"
user_000028	m	20	United Kingdom	"Nov 19, 2005"
user_000029	m		United States	"Feb 13, 2006"
user_000030				
user_000031		38	United States	"Aug 3, 2006"
user_000032	m	23	Italy	"Feb 28, 2005"
user_000033	f	20	Poland	"Dec 23, 2005"
user_000034	f	35	Brazil	"Sep 15, 2005"
user_000035	m	22	Australia	"Mar 7, 2005"
user_000036	f	21	Mexico	"Feb 19, 2007"
user_000037	m		United States	"Aug 13, 2007"
user_000038	m	29	Russian Federation	"Jul 6, 2006"
user_000039	m	21	United Kingdom	"Jun 4, 2006"
user_000040	f	21	Germany	"Apr 21, 2006"
user_000041	m	30	Sweden	"Jun 14, 2005"
user_000042	f	24	United States	"Dec 29, 2005"
user_000043	f	26	United States	"Mar 18, 2006"
user_000044	f	21	Italy	"Feb 27, 2007"
user_000045	m	29	Chile	"Jul 9, 2006"
user_000046	m	24	Greece	"Apr 23, 2007"
user_000047	f	19	Croatia	"Aug 26, 2006"
user_000048	m	33	Italy	"Dec 29, 2006"
user_000049				"Jan 11, 2006"
user_000050	f	24	United Kingdom	"Feb 10, 2006"
user_000051	f	25	Brazil	"Aug 10, 2006"
user_000052	m	20	Russian Federation	"Oct 16, 2006"
user_000053	m	29	Germany	"Nov 30, 2005"
user_000054	m	28	Brazil	"Nov 30, 2004"
user_000055	m	21	Serbia	"Aug 6, 2006"
user_000056	m	22	United States	"Jan 15, 2006"
user_000057	m	17	United Kingdom	"Aug 27, 2006"
user_000058	f	24	Poland	"Feb 28, 2006"
user_000059	f	24	United States	"Sep 9, 2005"
user_000060	f	22	United States	"Oct 11, 2005"
user_000061				"Apr 29, 2007"
user_000062		26	Turkey	"Mar 11, 2005"
user_000063	f	22	Poland	"Sep 25, 2005"
user_000064	m	21	Finland	"Dec 19, 2005"
user_000065	m	35	United States	"Oct 23, 2005"
user_000066	f	20	United States	"May 9, 2006"
user_000067	m	36	Canada	"Mar 8, 2005"
user_000068				"Oct 16, 2009"
user_000069	m	23	United States	"Jul 13, 2005"
user_000070	f		Sweden	"Dec 8, 2005"
user_000071	m	7	Netherlands	"Dec 13, 2005"
user_000072	f	25	Armenia	"Nov 22, 2006"
user_000073	m	34	United Kingdom	"May 31, 2007"
user_000074	m	35	Turkey	"Jun 9, 2005"
user_000075	f	20	Romania	"Jun 4, 2006"
user_000076	m	38	Germany	"Nov 26, 2005"
user_000077				"Apr 24, 2006"
user_000078	f	27	Poland	"Oct 10, 2005"
user_000079	f		United States	"Apr 2, 2006"
user_000080				"Aug 28, 2006"
user_000081	f	34	United States	"Jul 18, 2006"
user_000082	f	20	Poland	"Jan 29, 2006"
user_000083	f	19	Bulgaria	"May 24, 2007"
user_000084	m	18	Venezuela	"Dec 4, 2005"
user_000085	f	18	Croatia	"May 14, 2007"
user_000086	f	27		"Sep 21, 2007"
user_000087	f	18	Poland	"Oct 5, 2006"
user_000088	m	25	Turkey	"Mar 13, 2005"
user_000089	f	27	United States	"Dec 25, 2005"
user_000090	m	20	Sweden	"Aug 20, 2005"
user_000091	f	27	United Kingdom	"Mar 18, 2007"
user_000092	m	30	Turkey	"Nov 10, 2005"
user_000093	m	20	United Kingdom	"Dec 6, 2005"
user_000094	m	22	Poland	"Mar 2, 2007"
user_000095	f	4		"Jan 27, 2006"
user_000096	f	25	Finland	"Feb 20, 2006"
user_000097	m		United Kingdom	"Apr 6, 2005"
user_000098	f		New Zealand	"Feb 3, 2007"
user_000099	f	22	Brazil	"Jun 17, 2006"
user_000099	f	22	Brazil	Jun 17, 2006
